"pointid","xcoord","ycoord"
240,529301.141054839,4713714.60626287
241,502951.448728299,4713777.55774625
242,502285.961618346,4713804.53695341
243,513671.187039984,4713849.50229868
244,524256.029315867,4713903.460713
245,489362.921388572,4714227.21119892
246,487303.508575337,4714263.18347513
247,519094.0076792,4714479.01713242
248,517673.102768758,4714074.32902501
249,507888.64363863,4714488.01020147
250,528293.917320855,4714847.73296361
251,499848.839904867,4715000.61513751
252,497933.316196487,4715117.52503521
253,481754.784969373,4715243.42800196
254,484371.76806392,4715450.26859018
255,485441.943281278,4715567.17848788
256,495424.249930581,4715441.27552113
257,517565.185940117,4715459.26165924
258,518014.839392789,4714497.00327052
259,513806.083075785,4715729.05373084
260,512601.011822626,4716637.35370524
261,511764.656400657,4718328.05068728
262,510964.273254902,4717716.52199165
263,507636.837705134,4718462.94672308
264,506512.704073456,4715774.01907611
265,528293.917320855,4715890.9289738
266,518446.506707353,4716034.81807866
267,522304.533331273,4716142.7349073
268,522610.29767909,4716214.67945973
269,507825.692155256,4716268.63787405
270,511422.919776627,4716313.60321931
271,489470.838217213,4716529.4368766
272,491206.500544524,4716565.40915281
273,522430.436298021,4716709.29825766
274,513455.353382701,4716916.13884589
275,528779.54304974,4717383.77843667
276,487870.071925703,4717401.76457478
277,484686.52548079,4717419.75071289
278,499516.09634989,4717455.7229891
279,502573.739828055,4717626.59130111
280,504003.63780755,4720108.67835986
281,524022.209520478,4717842.4249584
282,516360.114686958,4717986.31406325
283,516000.391924821,4719299.30214505
284,515793.551336592,4719955.79618595
285,514858.272155036,4720639.26943401
286,511764.656400657,4718444.96058498
287,494273.137091743,4718085.23782284
288,504768.048677091,4718211.14078959
289,481970.618626655,4718328.05068728
290,519903.383894008,4718364.02296349
291,520838.663075565,4720117.67142891
292,512502.088063038,4718588.84968983
293,525838.80946927,4718912.60017575
294,485522.880902759,4719110.44769493
295,487636.252130314,4720567.32488159
296,488337.711516481,4720558.33181253
297,491215.493613578,4719569.09421665
298,491071.604508723,4719335.27442127
299,502618.705173322,4719119.44076398
300,517538.206732957,4719452.18431896
301,490864.763920494,4719524.12887139
302,488283.75310216,4720081.6991527
303,508662.047577225,4720243.57439566
304,508302.324815088,4720054.71994554
305,520290.085863306,4720396.45656957
306,495253.381618566,4720468.401122
307,510847.363357208,4720576.31795064
308,487483.369956405,4720927.04764372
309,517412.303766209,4721106.90902479
310,485405.971005064,4721988.22979203
311,491674.140135302,4721457.63871787
312,493625.636119896,4722240.03572552
313,522214.602640739,4722572.7792805
314,530308.364788823,4722743.64759251
315,529831.732128991,4723418.12777152
316,516306.156272638,4722941.49511169
317,515874.488958073,4722518.82086618
318,514966.188983677,4721691.45851326
319,511270.037602719,4723049.41194033
320,516351.121617905,4723355.17628815
321,491368.375787486,4723445.10697868
322,491737.091618676,4723319.20401193
323,491916.952999745,4723139.34263087
324,519174.945300681,4723481.0792549
325,519561.647269978,4725279.69306558
326,520739.739315977,4725720.3534492
327,522241.581847899,4725252.71385842
328,526009.677781285,4723633.9614288
329,514858.272155036,4723840.80201703
330,530209.441029235,4723984.69112189
331,521252.344252022,4723993.68419094
332,509111.701029896,4724668.16436995
333,507717.775326615,4725135.80396073
334,507241.142666784,4725801.29107068
335,502582.732897109,4729920.11669715
336,507897.636707684,4724776.08119859
337,488166.843204466,4725189.76237505
338,495388.277654367,4725279.69306558
339,527367.631208352,4725333.6514799
340,511611.774226749,4725621.42968961
341,511000.245531116,4726682.61183792
342,515784.558267539,4725837.26334689
343,513976.9513878,4726412.81976631
344,513122.609827725,4727456.01577651
345,511413.926707574,4726736.57025224
346,514201.778114136,4726062.09007323
347,491764.070825837,4726196.98610903
348,518518.451259781,4726331.88214483
349,520550.884865855,4726421.81283537
350,488967.226350221,4726943.41084046
351,489084.136247915,4728166.46823173
352,494524.943025239,4731907.58495796
353,494569.908370506,4731934.56416512
354,494533.936094292,4732465.15523927
355,494470.984610918,4734002.9700474
356,494488.970749025,4736296.20265603
357,494524.943025239,4736682.90462533
358,493571.677705575,4727051.32766911
359,493769.525224751,4728472.23257955
360,493733.552948537,4728876.92068695
361,493841.469777178,4730046.0196639
362,498373.976580105,4727132.26529059
363,522340.505607487,4727527.96032894
364,494731.783613467,4727680.84250285
365,511189.099981238,4727707.82171001
366,500802.10522453,4727707.82171001
367,503167.282385581,4730396.74935698
368,502402.87151604,4731811.24167077
369,514264.72959751,4728112.50981741
370,513860.041490106,4728040.56526498
371,488292.746171214,4728211.433577
372,498796.650825616,4728247.40585321
373,493238.934150598,4728454.24644144
374,519291.855198375,4728499.21178671
375,524354.953075454,4730495.67311657
376,497978.281541754,4728598.13554629
377,492105.807449867,4728742.02465115
378,493688.58760327,4729911.12362809
379,514822.299878822,4729380.53255394
380,513887.020697266,4728166.46823173
381,517007.615658805,4729587.37314217
382,515092.091950425,4732905.81562289
383,513050.665275297,4732797.89879424
384,510145.90397104,4733184.60076354
385,509264.583203805,4731700.74436973
386,508617.082231958,4730612.58301426
387,505496.487270419,4734146.85915226
388,503455.060595291,4736925.71748977
389,503194.261592742,4737420.33628771
390,509399.479239606,4729632.33848744
391,530542.184584212,4729803.20679945
392,493679.594534216,4729902.13055904
393,500505.333945767,4732671.9958275
394,514390.632564258,4730099.97807822
395,520406.995761,4730315.8117355
396,523860.334277516,4730693.52063574
397,523833.355070356,4730711.50677385
398,487078.681849001,4730720.4998429
399,490711.881746586,4731610.81367919
400,495082.513306551,4731161.16022652
401,512978.72072287,4731565.84833393
402,511207.086119345,4731610.81367919
403,489785.595634083,4732042.48099376
404,519804.460134421,4732078.45326997
405,506485.724866296,4732114.42554618
406,527025.894584322,4732168.38396051
407,492609.419316859,4732788.90572519
408,500172.59039079,4732923.80176099
409,500694.188395889,4735109.11754098
410,500361.444840912,4735891.51454862
411,500532.313152927,4736323.18186319
412,502474.816068468,4732959.77403721
413,526774.088650826,4733094.67007301
414,500037.694354989,4733391.44135177
415,486197.361081765,4733643.24728527
416,486754.931363078,4733993.97697835
417,494452.998472811,4736260.23037981
418,507412.010978799,4733751.16411391
419,504453.291260221,4735891.51454862
420,498302.032027678,4733814.11559728
421,500136.618114577,4735711.65316756
422,516090.322615355,4734101.89380699
423,515271.953331494,4733553.31659473
424,518644.354226529,4734182.83142847
425,524993.460978248,4736592.97393479
426,525380.162947545,4736799.81452302
427,527016.901515269,4734398.66508576
428,485990.520493537,4734434.63736197
429,528392.841080443,4734821.33933127
430,513005.69993003,4735270.99278394
431,510703.474252353,4735324.95119826
432,499704.950800012,4735585.75020081
433,491737.091618676,4735657.69475323
434,515478.793919722,4735711.65316756
435,526117.594609926,4735783.59771998
436,524426.897627882,4736224.2581036
437,493301.885633972,4736224.2581036
438,494138.241055941,4736853.77293734
439,488886.28872874,4736251.23731076
440,493823.483639071,4737860.99667132
441,518518.451259781,4736440.09176088
442,499453.144866516,4736700.89076343
443,527313.672794032,4736709.88383249
444,485477.915557491,4736817.80066113
445,493787.511362858,4737959.92043091
446,503095.337833154,4737258.46104474
447,514597.473152487,4737456.30856392
448,513329.450415953,4742015.79457401
449,512610.004891679,4742771.2123745
450,512187.330646168,4743014.02523894
451,511665.73264107,4743319.78958675
452,507879.650569577,4743598.57472741
453,506728.537730738,4744506.87470181
454,517601.158216331,4737600.19766877
455,498023.246887021,4737860.99667132
456,500424.396324286,4740747.77183747
457,500622.243843462,4741593.1203285
458,503374.12297381,4737591.20459972
459,502753.601209124,4739362.83920325
460,502645.684380483,4740343.08373007
461,526828.047065147,4738472.52536696
462,525973.705505071,4739758.5342416
463,512313.233612916,4738526.48378128
464,524723.668906645,4739299.88771987
465,516935.671106378,4739623.6382058
466,518473.485914513,4741287.35598068
