"pointid","xcoord","ycoord"
778,514525.528600059,4760523.53068596
779,482645.098805662,4760622.45444555
780,496395.501388351,4760721.37820513
781,511000.245531116,4760766.3435504
782,512583.025684519,4760721.37820513
783,485190.137347782,4760775.33661946
784,524067.174865745,4760802.31582662
785,524211.0639706,4759813.07823074
786,524265.02238492,4759525.30002103
787,508626.075301011,4760964.19106958
788,509183.645582324,4765163.95431753
789,509363.506963392,4765784.47608221
790,509453.437653927,4765928.36518707
791,511719.69105539,4767753.95820491
792,512897.783101389,4767538.12454763
793,512439.136579664,4760991.17027674
794,522547.346195716,4761099.08710538
795,474236.579240708,4761314.92076266
796,475162.865353211,4760919.22572431
797,476502.832642172,4759426.37626144
798,519031.056195826,4761341.89996982
799,492591.433178752,4761386.86531509
800,530749.025172441,4761467.80293657
801,530928.886553509,4762358.11677286
802,531738.262768318,4763329.36823063
803,531918.124149386,4763509.2296117
804,531927.11721844,4764633.36324337
805,535200.594353887,4765730.51766789
806,537170.076476587,4764489.47413852
807,537997.438829503,4764336.59196461
808,488859.30952158,4761467.80293657
809,499021.477551952,4762421.06825623
810,498589.810237387,4762915.68705417
811,486988.751158467,4761593.70590332
812,474542.343588525,4761593.70590332
813,536603.513126221,4761665.65045574
814,537925.494277075,4764309.61275745
815,495667.062795024,4761782.56035344
816,525335.197602278,4761890.47718208
817,533348.022128881,4761917.45638924
818,480333.880058931,4762007.38707977
