mixture_collection,repunit,bs_corrected_repunit_ppn
snake_astoriawesttable_2020,crystal_lower,1.257068764943321e-4
snake_astoriawesttable_2020,crystal_upper,1.3031127480905283e-4
snake_astoriawesttable_2020,deadmansbar_NA,1.2999054547563024e-5
snake_astoriawesttable_2020,dell_NA,0.00529726613952852
snake_astoriawesttable_2020,ditch_NA,9.439417408820787e-5
snake_astoriawesttable_2020,dog_NA,0.09748711921204924
snake_astoriawesttable_2020,fish_grosventre,2.221839234308894e-5
snake_astoriawesttable_2020,fish_NA,0
snake_astoriawesttable_2020,spreadnf_flagstaff,0
snake_astoriawesttable_2020,flat_NA,4.036646553146387e-5
snake_astoriawesttable_2020,fordspring_NA,0
snake_astoriawesttable_2020,goosewing_NA,0
snake_astoriawesttable_2020,granite_lower,0.03516442618721207
snake_astoriawesttable_2020,granite_upper,2.1983255773471935e-4
snake_astoriawesttable_2020,grosventre_lower,0
snake_astoriawesttable_2020,hoback_upper,0
snake_astoriawesttable_2020,horse_NA,0.016452511269346524
snake_astoriawesttable_2020,lava_NA,0
snake_astoriawesttable_2020,leidy_NA,0
snake_astoriawesttable_2020,littlegreys_steer,0.056904963486055185
snake_astoriawesttable_2020,lowerbarbc_NA,0.039048256462357656
snake_astoriawesttable_2020,mosquito_NA,0.030360433097715193
snake_astoriawesttable_2020,northbuffalofork_NA,0
snake_astoriawesttable_2020,deadman_greys,0
snake_astoriawesttable_2020,pacific_NA,0
snake_astoriawesttable_2020,rock_NA,0
snake_astoriawesttable_2020,shoal_NA,0.030558136606982575
snake_astoriawesttable_2020,slate_NA,0
snake_astoriawesttable_2020,snakeriversidechannel_NA,0
snake_astoriawesttable_2020,spread_southfork,8.562016892107229e-5
snake_astoriawesttable_2020,spread_uppermainstem,0
snake_astoriawesttable_2020,spring_nps,2.0616955637093044e-4
snake_astoriawesttable_2020,spring_tss,0.0105677329757063
snake_astoriawesttable_2020,threechannel_NA,0
snake_astoriawesttable_2020,upperbarbc_NA,0.015133300402646713
snake_astoriawesttable_2020,white_NA,1.7422970878221828e-4
snake_astoriawesttable_2020,willow_NA,0.13101610229478697
snake_moosewilson_2020,bailey_NA,0
snake_moosewilson_2020,blackrock_lower,0
snake_moosewilson_2020,blackrock_upper,1.3352744042716077e-5
snake_moosewilson_2020,blacktail_NA,0.0615249077252612
snake_moosewilson_2020,blindbull_NA,0
snake_moosewilson_2020,cody_bluecrane,0
snake_moosewilson_2020,boulder_NA,0
snake_moosewilson_2020,box_NA,1.655326726169739e-4
snake_moosewilson_2020,cabin_NA,0
snake_moosewilson_2020,clear_NA,1.3235510228220591e-4
snake_moosewilson_2020,cliff_NA,0.006688392368540882
snake_moosewilson_2020,fall_coburn,0
snake_moosewilson_2020,cottonwood_grosventre,0
snake_moosewilson_2020,cottonwood_nps,0.06642968602041181
snake_moosewilson_2020,cowboycabin_NA,2.920787408989516e-4
snake_moosewilson_2020,crystal_lower,8.691006059156803e-6
snake_moosewilson_2020,crystal_upper,0
snake_moosewilson_2020,deadmansbar_NA,1.1536365961835896e-4
snake_moosewilson_2020,dell_NA,0
snake_moosewilson_2020,ditch_NA,0.0025725354844937575
snake_moosewilson_2020,dog_NA,8.610371310567264e-5
snake_moosewilson_2020,fish_grosventre,1.2458833776693884e-4
snake_moosewilson_2020,fish_NA,0.23056602496934575
snake_moosewilson_2020,spreadnf_flagstaff,0.002023928523893874
snake_moosewilson_2020,flat_NA,1.3536531082522903e-4
snake_moosewilson_2020,fordspring_NA,0
snake_moosewilson_2020,goosewing_NA,1.5366909202694247e-5
snake_moosewilson_2020,granite_lower,0.0014790500438889348
snake_moosewilson_2020,granite_upper,1.7489180707806193e-5
snake_moosewilson_2020,grosventre_lower,0.10933364820904565
snake_moosewilson_2020,hoback_upper,0
snake_moosewilson_2020,horse_NA,4.931121562484624e-6
snake_moosewilson_2020,lava_NA,0
snake_moosewilson_2020,leidy_NA,3.0037450658563747e-5
snake_moosewilson_2020,littlegreys_steer,0.0014239906072060166
snake_moosewilson_2020,lowerbarbc_NA,0.14709775439965425
snake_moosewilson_2020,mosquito_NA,0.11481656172476046
snake_moosewilson_2020,northbuffalofork_NA,0.01306611482010089
snake_moosewilson_2020,deadman_greys,0.0071874901989385075
snake_moosewilson_2020,pacific_NA,0
snake_moosewilson_2020,rock_NA,1.4393012640928e-4
snake_moosewilson_2020,shoal_NA,0.019731983995694705
snake_moosewilson_2020,slate_NA,0
snake_moosewilson_2020,snakeriversidechannel_NA,0.07775395245528514
snake_moosewilson_2020,spread_southfork,0.00407122500410489
snake_moosewilson_2020,spread_uppermainstem,0
snake_moosewilson_2020,spring_nps,0
snake_moosewilson_2020,spring_tss,0.002499145842950704
snake_moosewilson_2020,threechannel_NA,0.07752105231684014
snake_moosewilson_2020,upperbarbc_NA,0.05274522311669634
snake_moosewilson_2020,white_NA,1.8214609712907123e-4
snake_moosewilson_2020,willow_NA,0
snake_deadmansmoose_2021,bailey_NA,0
snake_deadmansmoose_2021,blackrock_lower,0
snake_deadmansmoose_2021,blackrock_upper,4.7536755878894016e-5
snake_deadmansmoose_2021,blacktail_NA,0.23090625001380585
snake_deadmansmoose_2021,blindbull_NA,5.98824952591283e-5
snake_deadmansmoose_2021,cody_bluecrane,5.198851330030867e-5
snake_deadmansmoose_2021,boulder_NA,0
snake_deadmansmoose_2021,box_NA,9.730204610210844e-5
snake_deadmansmoose_2021,cabin_NA,0
snake_deadmansmoose_2021,clear_NA,2.8701847560637767e-5
snake_deadmansmoose_2021,cliff_NA,0.006961178761126741
snake_deadmansmoose_2021,fall_coburn,4.25009953144521e-4
snake_deadmansmoose_2021,cottonwood_grosventre,0.006031940878356405
snake_deadmansmoose_2021,cottonwood_nps,0.04748616436006626
snake_deadmansmoose_2021,cowboycabin_NA,0.0015317972665689825
snake_deadmansmoose_2021,crystal_lower,0.004631350360694666
snake_deadmansmoose_2021,crystal_upper,0
snake_deadmansmoose_2021,deadmansbar_NA,8.067970909907336e-5
snake_deadmansmoose_2021,dell_NA,0
snake_deadmansmoose_2021,ditch_NA,0
snake_deadmansmoose_2021,dog_NA,0
snake_deadmansmoose_2021,fish_grosventre,0
snake_deadmansmoose_2021,fish_NA,0.07574182402859601
snake_deadmansmoose_2021,spreadnf_flagstaff,1.1649102760720077e-4
snake_deadmansmoose_2021,flat_NA,1.6480102621947517e-4
snake_deadmansmoose_2021,fordspring_NA,0
snake_deadmansmoose_2021,goosewing_NA,1.477693636299251e-4
snake_deadmansmoose_2021,granite_lower,0
snake_deadmansmoose_2021,granite_upper,1.0645359649516002e-4
snake_deadmansmoose_2021,grosventre_lower,0.13705525819246148
snake_deadmansmoose_2021,hoback_upper,0
snake_deadmansmoose_2021,horse_NA,1.0630409828517113e-4
snake_deadmansmoose_2021,lava_NA,6.056435956177157e-5
snake_deadmansmoose_2021,leidy_NA,1.9158229246833442e-4
snake_deadmansmoose_2021,littlegreys_steer,0.009961826430258613
snake_deadmansmoose_2021,lowerbarbc_NA,0.12482027359515449
snake_deadmansmoose_2021,mosquito_NA,0.027884558087637144
snake_deadmansmoose_2021,northbuffalofork_NA,0
snake_deadmansmoose_2021,deadman_greys,1.0203244105053496e-4
snake_deadmansmoose_2021,pacific_NA,5.251552262925455e-4
snake_deadmansmoose_2021,rock_NA,0
snake_deadmansmoose_2021,shoal_NA,0.01118271021669566
snake_deadmansmoose_2021,slate_NA,0
snake_deadmansmoose_2021,snakeriversidechannel_NA,0.00215924273067594
snake_deadmansmoose_2021,spread_southfork,1.4246689593242642e-5
snake_deadmansmoose_2021,spread_uppermainstem,0
snake_deadmansmoose_2021,spring_nps,4.517771073274099e-5
snake_deadmansmoose_2021,spring_tss,1.0368582177060027e-6
