"","bailey_NA","blackrock_lower","blackrock_upper","blacktail_NA","blindbull_NA","boulder_NA","box_NA","cabin_NA","clear_NA","cliff_NA","cody_bluecrane","cottonwood_grosventre","cottonwood_nps","cowboycabin_NA","crystal_lower","crystal_upper","deadman_greys","deadmansbar_NA","dell_NA","ditch_NA","dog_NA","fall_coburn","fish_grosventre","fish_NA","flat_NA","fordspring_NA","goosewing_NA","granite_lower","granite_upper","grosventre_lower","hoback_upper","horse_NA","lava_NA","leidy_NA","littlegreys_steer","lowerbarbc_NA","mosquito_NA","northbuffalofork_NA","pacific_NA","rock_NA","shoal_NA","slate_NA","snakeriversidechannel_NA","spread_southfork","spread_uppermainstem","spreadnf_flagstaff","spring_nps","spring_tss","threechannel_NA","upperbarbc_NA","white_NA","willow_NA"
"cody_bluecrane",0.0665248171658427,0.0901472123439583,0.0966209629859208,0.0733956266383593,0.0905210382121473,0.0902434970931033,0.0821075421581811,0.0817902068908418,0.0628229168412464,0.0953226628953236,NA,0.0775354571939288,0.0797716859879515,0.0734463775724438,0.0770965119311539,0.0825311436649763,0.0943191497683747,0.0902639758086768,0.0840126408024574,0.128225938377438,0.0882723074381933,0.188163707534143,0.0862827473477704,0.0431591878841635,0.074020955665715,0.0536631036502959,0.0923893671287454,0.0811329564286593,0.0833942231172541,0.0627059496471383,0.0726012450473604,0.0849948843876559,0.112555766731457,0.217501532259783,0.0832006670932241,0.0572371220783611,0.0583766714539076,0.0522749284285425,0.0573231467900245,0.0913901888600032,0.0817952016353537,0.112904117742105,0.0768451892556801,0.0716593349923492,0.0685440101788351,0.0827410060471659,0.12140529718764,0.0368913748995725,0.0660038687518917,0.0773724994802613,0.0922423073135815,0.0634729146810207
"cottonwood_grosventre",0.0320934999667208,0.0477539744451288,0.0520914781725876,0.0383294206246102,0.0454556774333866,0.0482145115313629,0.0643090335519898,0.0489464967238167,0.0631300216485424,0.0493038533612198,0.0775354571939288,NA,0.0399465550068967,0.039234781558442,0.0262360387041613,0.0323096515391597,0.0477665441675504,0.0603153106992205,0.051626047856225,0.0674486017699205,0.0468612624804891,0.16324412946529,0.0217567559430525,0.0322193661875115,0.05649080407984,0.0466546679856044,0.0212762581685322,0.0416277568187061,0.0474879893290608,0.0315731200851036,0.0438924043590393,0.044475278432218,0.0605284621641223,0.154884933373442,0.0448509601907595,0.0373826803317405,0.0310152525614668,0.0343843670014192,0.0319537574199122,0.0564957292262728,0.0408411581972952,0.0520279264165741,0.0455424481596547,0.0471909813219697,0.0464250979968581,0.0459586705018111,0.0584557266736052,0.0698171818628921,0.0383201948839011,0.0421711794694563,0.0464116557846412,0.0295273535630123
"cottonwood_nps",0.0355971664799034,0.0486940392471349,0.0514567975898469,0.0295466214998551,0.0608289618907156,0.0568469062585772,0.0691825455871012,0.0481728225219593,0.0569959055519409,0.057991748583529,0.0797716859879515,0.0399465550068967,NA,0.0389764197645048,0.0501043782078407,0.0622840323147558,0.0622264748992858,0.0488575730120396,0.0523904493200897,0.0741122194938003,0.0559861605753769,0.162539975175255,0.0519560902334365,0.0353572265646587,0.0458585439536611,0.0327253608531884,0.0483442725223646,0.0530253868009663,0.0518441595853035,0.0325590228449804,0.0487170343143469,0.0573763677073664,0.0556701192829338,0.15470532665265,0.0546215935950572,0.0362811257977871,0.0315109439132145,0.0335026001146844,0.0317288952582135,0.0563786149987756,0.0480916772914105,0.0809384844066521,0.0375957463853285,0.0439397898484001,0.047328175750891,0.0429039816783408,0.0542739137572272,0.0701538487274218,0.0336425605610474,0.0367022910253463,0.051569502791678,0.0335467022309643
"cowboycabin_NA",0.037139400472968,0.0487180543140457,0.057795300402722,0.0116079807242164,0.0550732535366482,0.0534432330396169,0.0632687907566648,0.0488391189619487,0.0553054932014532,0.0531725298635287,0.0734463775724438,0.039234781558442,0.0389764197645048,NA,0.0435633011918644,0.0648968116164668,0.0607484784960608,0.0241616962293089,0.0460583570161615,0.0808415769044654,0.0620416247153508,0.166438761450947,0.053914883375942,0.033288858865488,0.0395774032137126,0.0256629262983506,0.0565287235029913,0.0518823392923029,0.0494389631149998,0.0218456025598386,0.0415322108102254,0.0513384036670066,0.07025838912671,0.17039706071558,0.0521686582608227,0.0192956597554163,0.0265159477627264,0.0360924834843692,0.0252134848736227,0.0586784600186371,0.0405828185462827,0.0792046449800784,0.00856572751473048,0.0451456988600628,0.0555964176489569,0.0484571275896886,0.0672277577558292,0.0645971944795975,0.0280045141997701,0.00848376369351331,0.0558801137610226,0.0272499811472872
"crystal_lower",0.0414990728804336,0.0551817335584147,0.0609164597733871,0.0427910121732958,0.0591868917046312,0.0506973862897307,0.0681827928419902,0.0538442247435319,0.0665987013367459,0.0533537728706728,0.0770965119311539,0.0262360387041613,0.0501043782078407,0.0435633011918644,NA,0.0168252493760273,0.0615848242601943,0.0617222507009989,0.0575167323089567,0.078426075614142,0.0514009891419338,0.159297253449563,0.0361291019009201,0.0387496026624662,0.0587628150241575,0.0418002492958158,0.037687348859085,0.0475786006145647,0.0526349301469011,0.0334231806633678,0.0496446688298937,0.0570044256778043,0.0650498716390948,0.17020739120607,0.0524970755575533,0.0420020371295333,0.0350097132485207,0.0379463878533087,0.0395004509861075,0.0631780762449113,0.0458654215815156,0.0592776718864336,0.0473483757970542,0.0608973854263796,0.0557389864133144,0.0541436063973804,0.0697579576633506,0.0753072795986687,0.0381758923004679,0.0439925124072723,0.0463747507777033,0.0342686909642301
"crystal_upper",0.054828605614112,0.0661773404386763,0.0650874327835756,0.0611288344410943,0.063257525979864,0.0608378557028218,0.0685583561850067,0.0570640231092618,0.0702596170215069,0.0617120788311606,0.0825311436649763,0.0323096515391597,0.0622840323147558,0.0648968116164668,0.0168252493760273,NA,0.0562607106282323,0.0749220795944794,0.0691804795108107,0.0983982494628515,0.0578451552734141,0.180025716364915,0.034627318927586,0.0467524086966522,0.0756944644456664,0.051815632094288,0.0466866380087782,0.0557611170299917,0.0622647156258944,0.0466300917592923,0.057342002596509,0.0657653011792324,0.0691473406926106,0.167201996778849,0.0541234843183003,0.0545897319639303,0.0405385860575939,0.047428946922989,0.0522653141115635,0.0728710483763504,0.0543993661561702,0.0624085590167012,0.0611216136110001,0.0620567798954649,0.0604030139514668,0.0648637779044152,0.0771238322287074,0.0746519930320318,0.0486927152969908,0.0639749229294412,0.0561676943945278,0.0468478682543577
"deadman_greys",0.030496610401347,0.0616500718094896,0.0615470663790087,0.0561934150731108,0.0172332491773589,0.0517666469255691,0.0795579522254441,0.0292150908236937,0.0722748845452242,0.0476937088529276,0.0943191497683747,0.0477665441675504,0.0622264748992858,0.0607484784960608,0.0615848242601943,0.0562607106282323,NA,0.0886433779923901,0.0630616151789961,0.0890900971170744,0.0396837982617877,0.179664208089866,0.0604527462702167,0.0505993887639866,0.067668216067565,0.049677666361816,0.0521050151781537,0.0448114629179437,0.0461592504659994,0.0506948159262565,0.0386817099319526,0.0555598129104484,0.0822836659794669,0.178764519461602,0.0177812160360957,0.0543548383712462,0.039842099052397,0.0556265715434241,0.0517970248149085,0.0670687425076856,0.0466310177073602,0.0875871334674709,0.0635921462743777,0.0630553291919344,0.0691605377369383,0.0688115164057534,0.0754182314703178,0.0855092957871987,0.0497887464603869,0.0631368653218342,0.0182515569674909,0.0361042675560297
"deadmansbar_NA",0.0576469842343238,0.0605477521697019,0.0698613899272583,0.0275321000968314,0.0724621719634041,0.0732256905950787,0.0769945731077414,0.075867292137817,0.0643390712908492,0.0700561596317513,0.0902639758086768,0.0603153106992205,0.0488575730120396,0.0241616962293089,0.0617222507009989,0.0749220795944794,0.0886433779923901,NA,0.0750725493661373,0.0915851481206389,0.0782421543506035,0.181846262497364,0.0784790336305558,0.0363283722331476,0.0484252879101027,0.044906271989443,0.0776738685001662,0.0678060791961484,0.075771747977601,0.0355622771319342,0.0583947739289041,0.0650602446645521,0.0791345288833745,0.18627339097545,0.0724995537094179,0.03885835502006,0.0397152031795719,0.0391327960312329,0.0382284730902542,0.0737415790948903,0.0580567154942794,0.0983919328153284,0.023865638332984,0.0627330003584361,0.0604710443778911,0.0551866844777852,0.0843007845546577,0.0855382283116086,0.0378993881410478,0.0243745086619562,0.0689251452610807,0.0443790140964141
"dell_NA",0.0382122278632701,0.0531725339011904,0.0743901724754978,0.0418341313309806,0.0576985714904401,0.0497859983925323,0.0796489246092442,0.0524838303067336,0.0728189205947492,0.0514394428562321,0.0840126408024574,0.051626047856225,0.0523904493200897,0.0460583570161615,0.0575167323089567,0.0691804795108107,0.0630616151789961,0.0750725493661373,NA,0.091856385668659,0.0560471614588045,0.162207873438579,0.0555696239363686,0.0393898837665861,0.0594972321122624,0.0440850934206354,0.0633544612122026,0.0403239369833196,0.0496541242957244,0.037839498988098,0.038005966141039,0.0594343222026956,0.0868216178893185,0.173353666517825,0.0527200492712667,0.0344624319853512,0.0362210297936786,0.045258770796686,0.0367869236253524,0.0593828397651575,0.0371990180264356,0.0882055992358764,0.0471421950501454,0.0618627342923256,0.0553731896240791,0.0580566202898784,0.0836308886248267,0.0755788004370399,0.0356646130269132,0.0445956628000756,0.0585270083860319,0.0301816550587071
"ditch_NA",0.0750935847725728,0.0812111152825152,0.0733774242268833,0.0699048750106155,0.0818455972401834,0.0874216649185432,0.106829580997128,0.0830439838520204,0.0903128889528843,0.0836721260445165,0.128225938377438,0.0674486017699205,0.0741122194938003,0.0808415769044654,0.078426075614142,0.0983982494628515,0.0890900971170744,0.0915851481206389,0.091856385668659,NA,0.0895709752855746,0.202445905920507,0.0705480228247283,0.0820842431777866,0.0985045164414096,0.0882805009968946,0.0841847130846498,0.0831074734768108,0.0783989700371162,0.078080726911706,0.0790180853840498,0.0927326632289683,0.0935576630963614,0.166296209679973,0.0820129542172059,0.0771876988605011,0.0739300569086407,0.0712188438799259,0.0710477879595129,0.087726833874371,0.0808471955777286,0.10317030195947,0.0780216352847442,0.0764688949565629,0.0836601100815791,0.0786835095171566,0.0719692229601126,0.122888333721182,0.079096804437571,0.0741356381648659,0.0807933885427605,0.0746422314430782
"dog_NA",0.0193128932153532,0.0566616029182759,0.0661772926687992,0.0518487111880951,0.0429725223086062,0.0357733683479338,0.0695940564818966,0.0184321767231839,0.066329458676335,0.0407350146802022,0.0882723074381933,0.0468612624804891,0.0559861605753769,0.0620416247153508,0.0514009891419338,0.0578451552734141,0.0396837982617877,0.0782421543506035,0.0560471614588045,0.0895709752855746,NA,0.152453379346963,0.0533283841202604,0.0486126041852083,0.0679128778185632,0.0541633805425529,0.0596307105717211,0.0357750597054029,0.0411140649900612,0.0524944980841011,0.0411672898801577,0.0435614925914205,0.0734223374038684,0.168989171196106,0.0383829854611457,0.0517496332955559,0.0380447698128789,0.0498241806485076,0.0524270085151697,0.0670655495016523,0.0364758933162231,0.0915756704998316,0.0668827616979418,0.0661070921318316,0.063920360460731,0.0623234006753185,0.0767143264665859,0.0778964919851009,0.0515115876526968,0.0566926702102822,0.0373731446051925,0.0299643455998999
"fall_coburn",0.159693032029407,0.153040546488655,0.162289086765109,0.159814881810098,0.166443609894392,0.156635398368763,0.181570442896578,0.147177719968349,0.165953019406431,0.148513138850612,0.188163707534143,0.16324412946529,0.162539975175255,0.166438761450947,0.159297253449563,0.180025716364915,0.179664208089866,0.181846262497364,0.162207873438579,0.202445905920507,0.152453379346963,NA,0.17923386963093,0.144255883889635,0.164577124768166,0.169348042639783,0.184230868050298,0.154944887358584,0.16222187345814,0.157376918450782,0.153953859372314,0.172596424569741,0.187179501074121,0.292796059003705,0.146789680360606,0.148749869943323,0.142967390956883,0.149288534177626,0.153670064408729,0.17795682699324,0.144577516864674,0.198887045557205,0.15628588382642,0.162663674137986,0.162441869532659,0.178860824803568,0.199610916130506,0.191093081730922,0.149878473406932,0.163023794554299,0.166314878533202,0.130403692025687
"fish_grosventre",0.0424938449383091,0.0556825984805256,0.0669956416059296,0.0472538032807182,0.055068686802063,0.0480789121803386,0.0701565754394804,0.0544083912196014,0.0736672325217877,0.060907447145464,0.0862827473477704,0.0217567559430525,0.0519560902334365,0.053914883375942,0.0361291019009201,0.034627318927586,0.0604527462702167,0.0784790336305558,0.0555696239363686,0.0705480228247283,0.0533283841202604,0.17923386963093,NA,0.0421983240291938,0.0713732188538727,0.0565030100883441,0.0278392667283475,0.0518723333255175,0.0582978578671029,0.0451030748795679,0.049824316932469,0.0544476546502362,0.067744293834241,0.167493604651701,0.051207207798098,0.0479314920319792,0.0425117699395735,0.0398009821067273,0.0392767546198856,0.066428522175286,0.0477678756069121,0.0584466652513383,0.0563353588713798,0.0592238927541197,0.051216427768529,0.0528493607577415,0.0674755948738477,0.0774812399704459,0.0463550642383224,0.0535755789166308,0.0556620366762993,0.0373534518987976
"fish_NA",0.0231533903035845,0.0323801632503685,0.0453863996259569,0.0240420803564461,0.0440334750662075,0.0420094595966055,0.040584835964267,0.0382576072931314,0.0367204674039553,0.0453863806570531,0.0431591878841635,0.0322193661875115,0.0353572265646587,0.033288858865488,0.0387496026624662,0.0467524086966522,0.0505993887639866,0.0363283722331476,0.0393898837665861,0.0820842431777866,0.0486126041852083,0.144255883889635,0.0421983240291938,NA,0.031579083028027,0.0207470151374767,0.0402210603709844,0.0398035116116021,0.0401343655608243,0.0190807749479512,0.0300195078435964,0.0395142213788217,0.0616395418982831,0.150168485126945,0.0432562426979799,0.0141279906013882,0.016166249967951,0.0103576944224387,0.0180479185738789,0.0402087341727263,0.0364406768974581,0.0708387730978084,0.0289468363339378,0.0334176683007727,0.0332184957252574,0.0374245791211699,0.0646670063094044,0.0409744396958819,0.0157647847713866,0.0274347629186355,0.0394394474424834,0.0164371384643007
"flat_NA",0.0459013236222589,0.0589850903535543,0.0740770455514984,0.0361942850487296,0.0668844367618865,0.0676544474565013,0.0691489533184793,0.0655997703406006,0.060500899264515,0.0693933496202616,0.074020955665715,0.05649080407984,0.0458585439536611,0.0395774032137126,0.0587628150241575,0.0756944644456664,0.067668216067565,0.0484252879101027,0.0594972321122624,0.0985045164414096,0.0679128778185632,0.164577124768166,0.0713732188538727,0.031579083028027,NA,0.0397732195035386,0.0639398683581978,0.064726980298276,0.0640057917266385,0.0325021448613275,0.0506665239161255,0.0623093953589243,0.0786991269639595,0.187262042606582,0.0644847178972544,0.0370503731594271,0.0424840374165995,0.03750036997499,0.0394583144488276,0.0698425362033784,0.054066998318809,0.0980992411170867,0.0376187242963113,0.0546436187399,0.0596711529725994,0.0596616702142395,0.0831022267495028,0.0717651339003739,0.0363817093970468,0.0393472686994693,0.0579496090367875,0.0403372606056855
