section,repunit,distkm
snake_moosewilson,northbuffalofork_NA,98.17965302070822
snake_moosewilson,pacific_NA,51.94113901239845
snake_moosewilson,rock_NA,53.53395764686547
snake_moosewilson,shoal_NA,71.73818862887862
snake_moosewilson,slate_NA,52.629401591012126
snake_moosewilson,snakeriversidechannel_NA,15.126198092801406
snake_moosewilson,spread_southfork,71.82705851652364
snake_moosewilson,spread_uppermainstem,61.895367409838144
snake_moosewilson,spreadnf_flagstaff,73.64771248229395
snake_moosewilson,spring_nps,57.292627610096275
snake_moosewilson,spring_tss,40.81561767930993
snake_moosewilson,threechannel_NA,4.586929624299862
snake_moosewilson,upperbarbc_NA,14.572882325129601
snake_moosewilson,white_NA,122.75739997771878
snake_moosewilson,willow_NA,54.04506691484148
snake_moosewilson,NA,NA
snake_moosewilson,NA,NA
snake_moosewilson,NA,NA
snake_moosewilson,NA,NA
snake_moosewilson,NA,NA
snake_wilsonsouthpark,bailey_NA,39.85075004027878
snake_wilsonsouthpark,blackrock_lower,96.79540680287403
snake_wilsonsouthpark,blackrock_upper,115.02112778567586
snake_wilsonsouthpark,blacktail_NA,37.431241956356
snake_wilsonsouthpark,blindbull_NA,112.33624655775643
snake_wilsonsouthpark,boulder_NA,47.90330952199903
snake_wilsonsouthpark,box_NA,108.4291893556491
snake_wilsonsouthpark,cabin_NA,37.96341953996718
snake_wilsonsouthpark,clear_NA,110.48004772090101
snake_wilsonsouthpark,cliff_NA,50.68121858983324
snake_wilsonsouthpark,cody_bluecrane,12.304973279825159
snake_wilsonsouthpark,cottonwood_grosventre,82.80096793245718
snake_wilsonsouthpark,cottonwood_nps,38.68229205902218
snake_wilsonsouthpark,cowboycabin_NA,47.080313215946504
snake_wilsonsouthpark,crystal_lower,60.85086473288096
snake_wilsonsouthpark,crystal_upper,69.57124848497962
snake_wilsonsouthpark,deadman_greys,109.97536933104541
snake_wilsonsouthpark,deadmansbar_NA,55.32651112390659
snake_wilsonsouthpark,dell_NA,58.68327997717588
snake_wilsonsouthpark,ditch_NA,51.25119871739368
snake_wilsonsouthpark,dog_NA,32.745768053127875
snake_wilsonsouthpark,fall_coburn,24.368024774032413
snake_wilsonsouthpark,fish_NA,4.808081048445619
snake_wilsonsouthpark,fish_grosventre,84.00343729395713
snake_wilsonsouthpark,flat_NA,41.92578196711438
snake_wilsonsouthpark,fordspring_NA,3.917326455743529
snake_wilsonsouthpark,goosewing_NA,79.49070551322032
snake_wilsonsouthpark,granite_lower,44.45186954483265
snake_wilsonsouthpark,granite_upper,59.44412087150799
snake_wilsonsouthpark,grosventre_lower,27.839929878612576
snake_wilsonsouthpark,hoback_upper,90.07647227640395
snake_wilsonsouthpark,horse_NA,23.594246448937774
snake_wilsonsouthpark,lava_NA,83.3306535591
snake_wilsonsouthpark,leidy_NA,101.15538065726491
snake_wilsonsouthpark,littlegreys_steer,89.04542729621527
snake_wilsonsouthpark,lowerbarbc_NA,19.65650742964477
snake_wilsonsouthpark,mosquito_NA,4.867499301094669
snake_wilsonsouthpark,northbuffalofork_NA,122.30640977496955
snake_wilsonsouthpark,pacific_NA,76.06789576665982
snake_wilsonsouthpark,rock_NA,77.66071440112681
snake_wilsonsouthpark,shoal_NA,47.61143187461727
snake_wilsonsouthpark,slate_NA,65.18027481261483
snake_wilsonsouthpark,snakeriversidechannel_NA,39.25295484706276
snake_wilsonsouthpark,spread_southfork,95.95381527078499
snake_wilsonsouthpark,spread_uppermainstem,86.0221241640995
